from,to,cost
3503526,7297858,9.952
14206,13514,8.369
39713,39228,5.682
7768869,9413243,5.516
7634994,17855,4.716
24562,9805192,9.391
8133,9745980,4.51
80675,6407889,5.898
12730,18215,8.233
21121,10239,5.621
9705236,19127,6.081
16802,1528092,8.093
5404711,58394,6.548
7878826,14427,10.663
1604694,27006,10.476
3719,9099875,6.061
10242,2776880,5.143
9564934,16233,7.351
8982,8247,4.552
9812105,7970030,5.11
7519672,18471,4.296
16802,5460,8.177
7779771,9193677,8.483
5193,7878826,5.959
6379915,7347936,9.879
7855362,7994125,4.629
27162,8254,8.529
9193677,27006,9.007
4359,5320,6.399
17835,1373900,8.632
29858,139238,6.249
19038,18287,5.268
3529592,30546,11.096
4535162,8250,4.869
17736,16734,7.719
22545,6700,5.183
1389742,7871171,7.694
9708685,29289,5.697
4403,9367136,4.907
20400,15032,8.865
5607094,20095,6.404
14249,49913,7.742
45599,19100,7.633
9053069,18689,5.082
7007175,34606,7.59
9079254,7686811,4.351
7347928,9833510,8.446
24910,12377,7.246
17094,17835,4.319
9705236,3657469,8.437
9833510,1358324,5.197
16357,9447342,4.681
9844511,7530935,10.206
9111867,14206,7.504
5959,14443,10.893
7331,4563409,5.906
21685,9734880,6.272
9186212,9776370,6.715
16675,13514,7.145
17787,6610,7.96
157,6946879,4.56
3225143,79030,4.671
18689,34606,7.65
18471,132,5.348
7304,3209,5.24
7338872,9303235,6.168
8982,9101543,5.525
6653618,7839804,7.818
9443819,20052,6.197
9216073,19615,4.587
6727468,7415761,5.847
7007175,7415702,4.971
7634994,80675,6.116
7338872,4839,6.388
7716770,15849,6.062
17884,9564861,10.17
24503,21547,7.039
1370626,31976,6.085
9427554,7381182,5.64
73075,9078673,5.009
5460,9249834,9.773
8250,7994206,10.6
7685920,30090,12.148
6407889,9772812,4.416
21540,7635010,4.42
45507,7659652,9.049
22098,4555732,4.163
7914512,31762,6.352
16195,24805,10.903
27000,7855508,5.457
9111654,9215891,7.143
9699864,9748466,9.097
7690126,16734,6.034
28688,2781956,6.365
9193090,5320,5.913
10339,7464010,9.525
1376616,1367072,5.929
9155490,2763,10.593
9193642,30286,5.963
9692517,7042108,5.605
3675009,9048545,8.189
9007822,20630,7.608
6090206,4251,8.59
1360604,1374680,5.962
6122,7543298,5.059
9473700,83399,7.475
17566,9215808,10.233
1370650,21121,5.605
24910,27340,8.065
7855362,18476,5.417
9921389,9564861,7.557
16411,90565,5.228
9239685,4447190,4.912
7587,7353626,5.288
7007175,9457224,5.313
7445202,27050,7.144
9569766,45523,5.87
107,17264,5.512
83399,6670,7.892
17329,4403,6.844
75272,7994125,4.713
15717,13514,9.83
17361,1369385,10.958
29384,4519876,5.299
1358324,9303189,4.269
17259,9844511,6.454
17803,80675,6.325
157023,22545,5.315
16411,9193677,6.093
7948115,7543298,5.677
4447190,5775655,4.44
9111654,9193677,8.998
60402,6610,4.716
8443,9239685,4.611
25533,7751524,5.856
18689,7983883,4.843
12998,58394,8.265
10242,7007175,4.859
17566,1358316,7.397
9303189,2364,10.646
25116,7855362,4.857
17361,1374680,11.248
9366083,12998,9.413
3225143,9575820,9.839
39713,157,5.425
6700,4394,4.748
9758593,6715133,7.818
17787,24570,11.008
12735,6715133,6.164
17835,9772677,8.902
24147,19950,6.267
15717,5363,7.642
9074015,7797036,5.331
30632,7381182,5.712
7909381,1389742,6.331
14443,20346,7.84
21540,6785,4.962
81817,7994230,7.562
5193,10170,6.724
9699864,8254,9.176
16802,7686790,6.813
7353626,9469486,5.165
31941,9111654,8.054
25402,9490493,9.956
9225749,41143,6.526
9737308,20828,6.913
4236580,446947,4.785
15849,7697554,9.147
21121,16608,7.656
9631810,3611,6.101
7878036,14427,10.566
3093530,60402,5.019
80675,9239685,6.117
6941206,17566,7.065
21547,3741192,4.276
3107558,7839804,7.427
7710020,6610,4.628
7304,5711819,4.561
17566,41143,10.689
21089,6670,4.991
9750541,17264,6.473
13420,19897,9.28
9000020,30465,10.458
5607094,18287,6.271
6653618,5363,7.894
5556937,27057,5.171
9329781,9909893,4.733
9457224,9078673,5.163
9835458,17861,8.247
7439873,6379915,4.658
9000020,29092,8.72
7416717,1367072,7.73
9443819,7141840,5.421
9073973,7690126,5.165
169846,3638,10.184
15962,19127,9.165
9681841,9147128,4.643
6946879,9053069,5.306
9527800,41143,8.094
9101543,7839804,6.032
3310,2275,7.216
9743464,7994257,5.455
9705236,31762,7.944
7811152,34606,8.305
7634994,6785,5.351
9193642,22474,8.37
18689,9750541,4.592
7415745,22545,5.728
9705236,9812075,7.975
4555732,27006,8.684
9598,13323,10.979
7527730,4236580,7.209
157023,11746,4.973
2534,6103537,10.554
1371266,9186212,8.048
728535,6653618,7.276
30292,20400,6.809
9600876,10146,5.104
13420,9758593,8.813
31762,1378724,7.155
9543414,7970021,7.436
14969,20346,8.208
16675,1360604,7.413
9841083,9598,4.897
24805,7165536,8.236
9207775,8788,8.165
6946879,3093620,4.793
7137,6122,6.53
20370,8254,6.324
9705163,4839,5.792
14370,9835440,4.59
13,9686177,7.731
9866060,7415745,5.126
18988,7970030,8.073
73075,9207775,8.13
10242,9207775,7.493
21685,7839804,4.591
1373153,7909390,5.349
143359,8250,4.71
9719300,9750550,4.913
20346,7464010,5.55
23906,19569,7.176
6727468,3877256,6.676
17788,7338872,6.664
5193,9750541,5.62
9111867,27162,11.093
1369385,3675009,8.083
14206,7969961,8.717
17094,7464010,6.131
7994125,8250,4.525
45685,7587,9.282
1528092,11444,5.716
9671820,30276,4.778
3743,4347390,7.386
6653618,6033822,9.03
118818,1373390,8.825
2788,7855508,8.487
9719300,12733,4.845
9835458,4105885,8.491
3151,24406,5.022
5089549,7855362,4.738
28688,10090,4.824
13170,14370,8.979
7977336,9833510,4.959
9207775,7271247,7.649
7331,5317886,5.553
8247,9099875,10.337
9101543,7948115,4.615
1182323,9772812,4.767
5364213,7886284,6.53
6225985,6767486,10.361
7690126,9079254,6.059
23248,21547,4.815
7347928,9743464,5.047
8443,7415745,4.562
3638,2200,9.806
18476,8250,5.398
28688,75272,4.946
8907,1167510,5.076
9825096,9825096,4.163
3638,4839,8.435
4359,7994257,5.462
8907,17426,6.856
9022,43986,5.547
18961,90565,4.852
7531362,9812105,10.639
22487,1524348,8.943
9833510,11819,5.425
9443819,9514902,4.646
5607094,24910,10.071
17027,7703317,4.573
9835440,45685,8.032
1370626,43323,8.367
9705236,17787,7.16
14397,14397,4.163
1371665,28797,4.518
9099875,2763,4.947
39228,3877256,6.435
7129,7710011,5.702
22225,9216154,7.234
7685912,21121,5.762
705187,7685912,6.672
7886284,11746,5.804
OS,18910,2.857
1150294,251,8.267
17835,7531362,7.156
4359,73075,7.934
8788,13447,8.922
5720,9631810,8.02
18689,6237,5.626
9367136,9185470,5.12
31976,7141840,8.402
15962,7797036,7.733
16608,22780,7.264
9111867,7165536,10.417
25533,22545,5.465
OS,21764,2.857
7587,1358316,6.119
17361,5362822,7.229
7007175,3671461,5.633
16802,14969,10.335
4394,7439873,5.142
3161579,6907733,9.616
3671461,728535,8.247
2186,2364,4.594
6033822,3107558,7.065
44030,16675,7.496
16438,24910,11.233
13514,3151,4.255
14427,7258321,10.776
4519876,10242,6.304
9071407,9469486,7.987
560,7977336,4.785
25119,25429,6.691
4563409,7300816,4.795
15032,9670386,6.433
21685,9841083,4.776
9836209,11746,6.345
7587,6800467,9.255
61190,1167510,4.631
17861,7510,5.561
15415,9833510,7.101
9215808,9193448,8.403
7768869,7925662,5.205
14427,9670386,7.647
9844511,3568229,10.816
15520,5404711,8.869
12733,7347928,8.91
2965712,1141902,7.347
1167510,7878826,5.077
31392,9071407,8.936
6007,6007,4.163
27340,24147,7.871
9317627,27537,8.091
3568229,43323,9.344
30276,20095,6.706
7300816,9372946,6.068
21764,7925662,4.543
9575820,23906,6.928
143359,1394045,9.485
9215891,9737308,9.845
20095,3657469,10.249
14688,49913,7.768
8990,7389353,5.074
18476,2781484,6.849
11622,4618,8.414
4563409,3743,11.835
7768869,7471,5.985
9474960,6873332,4.26
7717407,7685920,7.88
9872426,7994257,8.452
9424598,18198,7.159
4400,6090206,4.368
CB,9424598,2.857
7007175,7925662,5.117
8254,19615,7.063
7439873,4618,7.438
28184,21121,7.368
7994230,13579,9.505
7703260,7977336,6.75
10339,5720,6.161
9921389,27340,10.032
9424598,22616,4.418
7445202,11819,6.336
19534,9763449,4.806
9908978,7909390,4.791
7258321,21547,7.185
9692517,3719,9.823
20828,14370,8.405
7878826,15032,10.233
13579,9686177,5.5
9473700,56502,5.638
9687564,14206,7.636
7703260,9367136,6.024
7185545,7970021,4.728
15032,6907733,10.14
8133,6033822,5.174
9842373,17566,8.04
7519672,9457224,5.098
20630,9514902,6.654
7685912,27057,9.095
13447,57851,8.313
4226348,4403,6.91
9835440,1360604,8.637
17855,18476,4.385
6929,9817123,11.202
15032,28184,6.028
15849,9794948,8.164
7635010,7543298,4.368
9833510,9413243,5.227
17426,157023,7.061
21685,4588,7.341
9844511,17788,4.852
6725953,4226348,6.226
9543414,681164,6.67
9835458,9457224,8.472
20346,9424598,6.57
7994125,7768869,4.525
9844511,17361,5.0
3529592,27790,9.978
3201,9743464,8.633
7531362,7768869,8.142
5320,2224,11.494
8443,9366083,4.873
22474,9565000,10.174
8254,1370650,4.88
7522452,7347928,8.106
9569766,27050,6.14
1374656,9249834,8.094
7471,4400,4.987
5035449,17884,7.114
132,8672,5.258
1374680,3741192,5.814
5711819,7710020,4.548
70610,9514902,5.565
17329,19690,7.524
12377,1373650,7.425
17884,17788,5.633
5404711,13170,9.617
23442,27537,8.335
7914512,9737308,6.605
7703317,12735,4.291
18689,1363964,10.209
19950,188980,11.631
17876,14308,8.81
79030,31392,10.282
15563,9215891,8.271
9519319,20150,6.461
7415761,13323,11.137
29289,7897936,6.249
17566,19690,8.042
130389,14308,7.122
45507,355763,6.113
9743464,83399,6.5
7254830,1369717,7.254
14451,6759009,8.739
19542,14370,8.122
9372946,7797036,5.969
9000020,7871171,7.629
17361,7685920,10.99
14249,7185545,9.151
5053,11819,6.499
17876,9457224,6.018
15717,1167510,7.77
169846,1528092,6.026
2201,3638,10.123
23442,5243572,8.766
30632,9099875,10.362
9569766,5404711,6.476
17027,6742,8.212
5550,4809220,5.779
7914512,9867651,8.226
OS,4618,2.857
7703317,6237,6.809
4236580,7811152,4.321
31976,9050868,11.002
5607094,14834,6.442
3195,21764,5.191
7710011,7983883,5.29
6407889,19897,9.53
9517910,2534,9.406
7710020,6033822,5.564
18589,9842373,4.506
7703457,9074015,5.305
9569766,44912,8.465
29665,16411,7.07
3657469,9758593,5.532
9022,9193553,4.818
9155490,5089549,4.65
16608,25119,9.96
9053069,29384,5.104
2781484,4618,4.163
7510,7703457,5.573
1363964,4588,7.404
20400,27448,10.274
17835,23248,9.188
13447,18467,8.598
96741,7717407,6.918
3638,2658,5.558
15849,20087,7.952
9418989,12998,9.56
11819,5720,6.903
96741,9758593,8.529
11444,9418989,5.351
9789138,5035449,7.403
31976,21121,7.288
9074015,5550,4.493
9474960,9519319,4.328
41752,3743,7.366
4535162,4404,4.966
2860,4251,6.086
7970030,14969,9.231
17329,9564853,9.956
39228,6785,6.929
2781484,7466315,7.514
7970030,7878036,6.904
5775655,7510,5.476
7909390,29858,5.683
9565000,3568229,4.568
7415788,6941206,7.285
39713,48097,8.162
1528092,9600876,6.104
4105885,9078673,5.534
20265,9926062,6.795
9844511,9794948,5.6
9193090,17736,8.126
7635010,107,5.432
7521871,7439873,4.657
17426,5362822,7.229
9078673,4809220,5.34
17736,49913,6.55
58394,15032,10.457
24058,43323,10.252
19720,16802,6.653
9575820,34606,8.169
2364,1899,8.002
7994117,9402225,4.163
75272,12831,10.079
3741192,7717407,7.072
9413243,7855494,5.762
39507,9193464,9.913
28797,29890,5.651
30276,9346910,8.418
7117515,7300816,5.559
9600876,9022228,5.161
9763449,7258321,9.98
355763,9473700,5.501
19615,3151,7.063
19496,9844511,7.708
4394,6610,4.398
14397,24406,8.817
4805712,7994230,8.49
6741339,19690,6.765
5607094,1369385,6.269
9825096,25533,4.747
12272,7415745,5.015
9473700,7415788,7.546
4236580,16802,7.104
6407889,9296,4.986
6653618,13579,9.833
9372946,7347936,10.074
7690126,3585905,6.177
560,3671461,5.377
6941206,4600,7.256
6727468,3611,8.406
7983883,11819,6.261
11819,19100,8.038
8672,11622,5.219
1373560,9099875,8.381
7685912,16195,6.271
41143,16608,7.375
8982,9833510,4.406
12831,4347390,9.653
9835148,1528092,6.465
1182323,2763,10.365
7521871,6727468,6.074
16608,3151,7.091
9772677,9112774,5.66
17259,9745980,4.641
1360604,9514902,4.37
9111867,21008,6.4
1528092,7471,5.682
13514,1370650,4.918
27537,6007,7.602
16411,9812105,7.455
11444,4809220,5.542
4618,1528092,8.051
15962,7855494,7.251
6742,9844511,6.55
9872426,3743,6.931
13579,3719,7.448
7855362,12733,4.513
9303189,4815700,6.121
9048545,9216154,7.24
3719,7347928,5.252
29665,24430,5.817
8648,7522452,4.426
7679050,9527800,10.784
19658,53,5.615
44030,7464010,7.71
3209,7466315,5.324
56502,2205,8.249
13514,12730,4.413
7994125,9598,4.471
24562,130389,7.375
16640,7685890,7.926
18910,7685912,6.552
18287,22616,6.89
7232403,7232403,4.163
12735,1373650,9.266
45523,5053,5.934
9193448,24406,6.599
7686790,7137,6.683
9789138,1376152,4.604
16438,1369385,7.116
17884,5124417,7.483
16675,9112774,8.401
7983883,5035449,6.833
7389353,13030,9.455
9745980,9600876,4.81
19658,11746,8.068
130389,9000020,9.769
1374656,14688,5.068
7522452,143359,4.83
3151,18880,6.81
19038,9099,8.27
OS,27488,2.857
20052,9146962,9.452
14354,17662,9.639
30805,28525,9.33
7165536,3675009,6.686
4394,17566,7.077
18467,7839804,4.496
45507,7196,6.321
7878036,7909381,10.787
7839804,18476,5.019
9000020,9321489,8.698
7331,5550,6.632
9844511,5124417,8.184
1374656,5124417,8.094
3671461,2781956,6.243
6103634,7994230,7.402
11819,132,6.263
58394,4251,8.167
3877256,9418989,4.787
25240,9146962,5.002
7353626,34606,8.228
15563,7716770,8.104
3675009,9007822,10.115
4805712,15520,6.923
1482505,24562,5.922
2909,19897,6.16
4588,2364,8.439
3093620,5975,6.972
9372946,1167510,5.276
10239,9805192,7.643
34606,14308,9.315
3225143,9631810,8.526
3093620,4394,5.472
9900411,16195,9.529
27340,9514902,7.483
7871171,7897944,6.642
7703317,24058,8.532
18589,20370,4.713
6103537,2364,8.793
7165536,4555732,7.747
9565000,7464010,7.96
9474960,22780,4.517
5321468,45685,7.013
20095,9900411,9.588
13030,7297858,4.882
3201,3107558,7.174
1790,355763,4.604
3503526,9866060,4.7
2186,2909,5.144
7304,3671461,5.256
9719300,7994206,10.331
16802,12733,6.168
9905855,21768,9.735
20095,14451,8.853
4447190,4563409,4.837
18988,15962,7.894
7860471,18467,5.659
11304,157,5.313
17736,25116,7.988
9794948,10242,6.214
19038,25348,6.534
9022228,4236580,5.01
2781956,13323,10.385
25533,12272,5.342
1488120,29033,9.439
9909893,6946879,4.424
4105885,5320,6.08
1360604,9193642,5.826
26194,2232,7.633
30286,21741,4.352
1367072,7007175,5.863
6785,9372946,5.488
9193553,27340,11.24
16195,25402,12.041
29858,7779771,10.628
16802,22545,7.515
24430,18198,8.673
9216154,28184,4.46
9193090,4403,5.156
9296,9835458,8.221
5556937,44030,5.339
7686790,728535,8.719
7751524,2658,8.377
139238,24805,10.708
6941206,2275,12.13
7521871,9841083,4.687
9101446,6800467,9.648
6946879,7915624,4.554
31100,14443,9.419
6237,355763,5.103
2788,19569,5.513
9543414,17264,8.058
3529592,9559973,8.194
7507518,9193340,4.163
7878036,9812105,5.998
9155490,5035449,6.946
42035,7974698,5.757
9776370,5124417,7.234
13927,1482505,9.338
8443,3225143,4.83
13170,14966,10.101
12998,26194,11.942
9099875,1377302,6.479
20150,24406,6.231
17811,9469486,6.652
27488,7797036,4.41
20095,27448,10.169
9598,17566,6.771
21807,9719300,4.916
9022228,4563409,4.423
19100,39507,7.619
5975,49913,8.914
90565,9805192,10.65
39228,1373650,10.743
1373153,9905855,8.987
7338872,22545,4.808
9789200,1790,4.417
7897944,7897936,7.207
45556,7878036,6.986
13323,1363964,10.069
9575820,6653618,6.8
728535,7970030,8.243
7886284,728535,6.612
5460,2781956,4.75
4447190,12735,7.553
9842373,9146946,11.474
9900411,24406,7.921
39713,9631810,8.76
1371665,26247,8.673
4519876,21807,5.783
29742,9146962,11.244
5607094,25402,10.748
16675,20052,5.484
1358316,6800467,8.977
19100,3741192,7.654
7878826,9193391,9.835
4447190,9794948,4.589
9322531,157,4.484
8247,7137,6.499
18198,31100,7.972
7797036,45507,5.862
18988,19720,4.756
59102,6727468,7.09
45483,13579,11.405
9837094,28797,5.141
3657469,24147,9.595
9185470,7347936,9.645
10339,7878826,5.871
1382438,25593,10.601
7969961,16357,6.73
14443,24562,9.865
7304,28688,5.684
9842373,24503,8.143
9519319,31762,5.511
9215670,7331,8.402
45685,21685,7.413
3209,11746,4.712
25348,70610,7.381
30276,9687564,7.064
9249834,30292,7.059
CB,7909306,2.857
560,8788,4.885
31089,728535,8.704
29384,9569766,5.623
29742,9046313,6.938
4805712,41752,4.69
4588,2776880,7.751
4588,3877256,8.007
7697554,31392,8.735
28688,27423,4.557
20346,1370626,7.466
9705163,15415,6.898
1373900,24562,6.104
7686790,7519672,4.163
1358316,2763,9.7
8250,18988,8.65
4251,5053,7.61
8133,5317886,4.874
9078673,17861,4.975
3209,9734880,4.952
8133,7974698,5.915
9926062,90565,7.448
9750550,56502,5.306
17094,6379915,8.776
7543298,75272,5.1
1373900,27448,7.881
9598,7415761,4.607
19712,1378724,10.99
15520,10339,8.114
4839,8648,5.85
7710020,13579,10.985
7925662,7193670,7.572
9447342,27537,10.885
9120076,7254830,4.749
25119,26514,8.74
132,13170,8.98
3093620,27423,4.651
9155490,45483,5.687
7521871,7529279,5.545
6237,9079254,4.946
59102,49913,8.508
9763449,20150,6.17
39725,7909322,4.163
728535,25348,6.704
24503,24147,6.803
75272,5975,6.426
27162,27162,4.163
9022228,9877045,7.718
169846,8250,4.526
11444,1358324,5.944
17094,705187,9.317
6727468,7218,5.847
7353626,7415788,7.514
15717,17662,10.114
4563409,7768869,5.019
46179,2201,11.134
9445340,7258321,10.983
9155490,4403,4.59
4447190,4403,4.982
9193448,9490493,6.34
7353626,11819,6.563
6122,1367072,6.685
96741,1360604,4.444
7271247,16357,5.096
9490493,96741,4.569
9564934,3568229,4.735
5775655,5364213,4.888
8247,9909893,4.696
6237,20117,10.504
9239685,3645940,5.292
1373650,9564861,4.371
1790,6946879,4.369
9833510,13,10.068
16411,9193448,4.984
9772677,3675009,8.528
7225822,30546,7.253
9565000,2591332,11.186
31100,9193464,10.812
4251,7703457,7.893
7994125,5975,6.652
9598,31392,9.987
6700,638560,5.022
3877256,6785,4.664
3503526,446947,4.772
7751524,8247,6.235
143359,3638,10.209
28184,21741,6.942
9745980,8443,4.5
15849,45599,9.23
7970021,9519319,4.456
9215808,29665,9.411
7970021,20095,6.627
9099,9794948,4.312
9750550,7710011,4.163
11444,6946879,5.298
251,9671820,4.9
1360604,19720,7.605
9835458,9575820,8.17
9050868,55492,7.773
9193448,2965712,4.76
60402,13579,11.125
31685,7994117,7.478
42035,5362822,5.971
7710020,9743464,8.966
1367072,5363,5.964
7970021,1374680,5.962
7716770,9564810,6.953
7710020,7196,4.879
9867651,9249834,6.919
9812075,22780,5.467
2364,7994230,7.018
9474960,19100,7.518
OS,19496,2.857
8247,9322531,4.958
4224701,18689,5.996
7529279,9079254,5.817
9216073,27006,11.091
107,5460,6.112
96741,19712,7.29
9737308,7522720,11.058
5363,9457224,6.246
7779771,14958,10.617
5711819,17788,5.939
27000,9559973,5.881
21121,22098,6.002
9745980,21807,4.839
5460,25116,5.584
21764,9833510,5.284
1378724,7970021,8.087
3107558,3201,7.192
1369717,152323,7.492
14966,21121,6.72
9187669,18471,5.692
27423,27488,5.161
157,4535162,4.776
18287,9474960,7.099
7716770,12730,7.041
7466315,2776880,4.369
3585905,3189317,5.381
10146,9101446,4.815
9193090,9569766,5.568
9215670,8443,7.946
29858,6225985,6.588
9215891,15822,6.219
17884,130389,10.908
28320,27472,10.817
7915624,25533,4.429
9447342,9926062,7.351
9216073,653080,5.347
5053,10170,5.529
73075,13579,10.845
7464010,3568229,7.708
4839,9349391,10.743
1373390,1375717,7.571
14969,14834,5.863
CB,7703260,2.857
17361,9443819,9.615
157,7529279,5.213
OD,7994117,3.71
19542,16357,5.278
1528092,7304,6.248
9099,18880,9.266
9053069,7193670,7.493
9900411,27057,6.551
16195,9737308,9.536
9187669,9099,6.073
19950,16195,4.93
9641,9671820,5.307
9112774,9772677,5.663
1377302,1635,8.528
14451,9670386,7.647
9794948,9413243,5.766
3093530,75272,5.155
7415761,5720,6.179
20397,13514,6.9
3151,21008,4.83
13420,2275,11.629
7703260,7338872,7.355
17329,7445202,7.765
5975,355763,6.647
7297858,2205,7.703
7439873,41752,9.543
16640,45685,7.716
7751524,5193,4.889
5035449,2776880,6.561
9111654,16233,7.27
9564861,20370,6.804
5607094,9842373,6.421
4535162,7531362,7.803
7994206,1377302,6.196
9641,20400,6.738
9193448,23442,6.486
26247,29599,10.283
18689,18471,5.039
79030,5320,6.244
CB,4226348,2.857
7439873,9877045,7.81
45556,9867651,10.326
7686811,21685,5.246
10242,2216,11.995
7338872,57851,6.486
14206,14370,4.602
9543414,7271247,4.61
1379682,6767486,10.779
7047096,446947,6.061
2776880,58394,4.955
9805192,9307303,7.91
4815700,30632,6.004
13927,22780,9.511
9670386,17835,6.263
9427554,3093530,5.284
17662,9812105,5.063
7811152,446947,4.647
19542,27537,11.095
60402,3611,10.019
26514,81,7.715
41143,9146946,8.679
8788,6237,5.305
OS,30287,2.857
169846,29384,5.171
SD,3657469,2.857
8788,4236580,4.302
7915624,8250,5.019
20087,22098,6.653
7970030,3657469,9.77
9705236,22616,6.95
24694,9900411,6.456
20346,14966,6.78
184969,30236,5.048
9598,6742,4.771
73075,7466315,4.94
22780,2591332,11.301
7300816,3209,4.998
5711819,18467,4.395
11495,132,5.576
31941,45556,11.063
7703317,21764,8.029
9000020,29289,8.681
8982,13579,11.185
7347928,5711819,7.776
9835148,7042108,5.74
7703260,9909893,6.631
9372946,31392,10.248
2965712,20630,7.733
1370626,9193677,5.711
7522452,9101543,5.947
9239685,7543298,4.484
7751524,21089,5.128
CB,13447,2.857
7117515,21764,5.452
28525,27448,10.975
9708685,1389742,6.606
18961,14688,8.099
7543298,18689,4.538
1376152,21764,5.058
11304,1790,5.059
9565000,31976,7.428
45556,9812105,8.773
9101446,3638,9.657
9763449,20630,7.529
9367136,18589,9.406
13030,4224701,7.309
107,9692517,4.321
CB,4447190,2.857
7165536,22474,8.964
8672,12733,4.941
22689,48097,6.806
169846,45685,8.152
9670386,9564810,6.953
728535,31762,8.94
27423,4105885,5.456
29742,29599,6.803
9836209,10090,5.941
31762,28184,7.728
11746,19038,8.147
19100,16233,5.231
1482505,6007,4.699
30286,7779771,8.218
1374680,9447342,8.484
7218,9789138,4.499
10170,13447,8.866
9207775,9366083,8.622
9346910,12377,10.824
7530935,22098,4.678
9772812,7915624,4.851
7300816,17835,8.264
3189317,7679050,9.515
7897936,9022,6.753
6759009,43323,9.973
70610,9007822,6.739
1377302,3077,6.254
90565,30286,7.149
15717,1378767,10.237
9737308,9708685,11.777
20397,9346910,9.588
15717,14370,7.942
19453,9559973,6.727
1790,7137,6.074
7897944,9193553,5.628
7117515,3209,6.2
188980,9048545,9.514
7218,7994320,10.163
5404711,17264,7.692
4588,59102,8.424
7839804,13420,9.017
27057,9007822,7.742
7909322,9046313,5.218
14834,25240,9.743
9734880,19534,8.295
7522720,43986,5.603
13684,21547,9.708
17566,560,7.017
29665,13927,9.879
9215808,9812105,9.705
19542,21121,8.266
27000,18589,7.813
45507,9249834,9.115
7381182,7635010,4.705
7258321,6767486,10.435
22780,31976,7.543
16438,14451,7.066
7871171,41279,9.509
8250,7304,5.306
15962,30276,10.114
27162,9143793,8.684
5320,11622,6.919
90565,9490493,7.061
9568298,15164,4.163
26115,7897944,11.519
21741,9048545,4.175
5711819,9909893,4.682
9106464,21741,5.184
11790,20397,7.043
13514,26514,11.983
27000,24430,7.561
7218,9101446,5.235
1367072,143359,6.777
19542,9812075,8.258
19950,7525460,6.687
7193670,12730,9.938
7878826,45507,4.442
39713,9598,5.053
OS,17811,2.857
20346,1373650,6.585
5711819,7994320,9.698
17861,157023,4.338
10239,9527826,6.643
21774,7527730,7.034
9443819,14249,8.285
7994150,7507518,4.495
14249,19690,7.572
2205,13,4.912
6122,9686177,9.5
1374680,29665,5.482
1379682,16411,9.082
58394,14451,10.821
7686811,6742,4.458
4404,28688,4.646
16438,130389,7.067
53,7703317,6.655
15825,17417,4.163
7007175,9053069,4.869
29033,1604694,5.975
CB,1369717,2.857
9398937,9349391,6.424
3671461,169846,4.491
45556,9776370,9.886
9457224,4805712,10.099
4600,4105885,7.331
15563,16734,7.667
18198,9543414,4.476
25240,81,11.134
7948115,11495,4.959
17855,7300816,4.83
705187,21547,6.573
6727468,45523,6.829
16925,24341,5.594
7232403,4588,7.404
1367072,9794948,7.174
61190,169846,4.54
9564861,14969,9.497
7007175,13579,10.408
22689,6090206,4.805
31100,9112774,6.397
39507,9216073,7.215
9215808,15520,7.555
13684,7531362,7.404
9372946,6670,4.651
21741,24805,9.187
12730,9146946,8.811
3151,29665,4.774
20828,130389,5.517
29384,1790,4.843
19038,27050,7.78
15520,9772812,7.87
8907,5550,5.873
9071407,7690126,7.987
9559973,9519319,4.954
1528092,7797036,5.707
9681841,17307,4.643
7855362,8250,4.571
17884,9836209,8.094
20828,7914512,7.279
2201,9294546,11.086
5243572,1371266,9.836
15717,7007175,8.164
6785,7994257,8.001
9844511,6700,6.456
10242,638560,5.141
7970021,7525460,4.163
15067,18215,5.424
19038,9474960,7.986
1141902,9447342,7.585
7878036,9748466,11.227
41752,7117515,8.28
4375,13030,6.455
9193391,13420,9.21
9007822,21008,5.691
7994257,7974698,6.575
30276,18988,7.926
2965712,9564853,6.994
7925662,560,4.778
9424598,31762,5.24
1379682,7716770,9.67
29858,29521,6.126
9347186,11790,8.977
SD,7703457,2.857
9866060,4600,6.918
39713,29384,5.682
30287,30813,8.802
7439873,7193670,8.155
45685,9842373,8.253
OS,4535162,2.857
79030,7415745,4.54
7466315,5035449,6.689
1374680,20052,7.665
9272690,7974698,4.163
15032,19038,7.624
6208169,29858,6.327
7703457,9750541,4.827
30465,9537252,8.734
590,17307,6.02
19569,3529592,10.777
17094,9750550,8.526
21685,13323,10.396
21807,9473700,4.738
1394045,34606,5.871
6907733,9908978,11.312
9519319,9193464,9.929
9789200,28688,5.574
9772677,25119,7.565
7994150,221,4.163
12735,21774,7.95
20346,19542,5.345
6653618,6741339,9.425
9772812,3743,11.262
9281177,1,4.813
9517910,21089,4.481
43323,9737308,7.442
13514,23906,4.456
27472,22225,7.821
7686811,15415,6.269
22471,7689993,4.436
19720,25240,10.072
9099,2788,7.619
15822,9186212,6.624
58394,9079254,5.774
9670386,14958,6.663
16640,28184,5.059
OS,17027,2.857
16438,20400,7.069
30465,7909381,8.818
9099,3201,5.3
9272690,7196,5.717
9908978,9046313,9.048
7983883,9469486,5.108
132,3201,4.893
3877256,9099875,10.286
9575820,11790,7.254
20784,1046659,10.016
9329781,7042108,5.277
8907,25116,4.552
26247,139238,8.066
7300816,728535,8.844
9519319,9000020,9.929
237,27057,6.072
60402,4805712,9.991
3093530,5089549,5.218
9445340,25593,8.92
CB,3529592,2.857
16411,20630,6.937
5975,7218,6.856
21121,20052,7.458
5243572,24570,11.824
